,Unnamed: 0,text,category,trans,translate
3425,3425,ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಕನ್ನಡದ ಬೆಲೆ ಕಟ್ಟಲಾಗದ ಮಾಣಿಕ್ಯ,Positive,ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಕನ್ನಡದ ಬೆಲೆ ಕಟ್ಟಲಾಗದ ಮಾಣಿಕ್ಯ,"Rakshit Shetty, Kannada actor
"
3426,3426,Dislikers==Dagar Rashmika fan,Negative,ಡಿಸ್ಲಿಕರ್ಸ್==ಡಗರ್ ರಶ್ಮಿಕ ಫ್ಯಾನ್,"Dogger Rashami Fan
"
3427,3427,ನೀವು ಈ ತರ ಪ್ರಯೋಗಾತ್ಮಕ ಮೋವಿಗಳನ್ನೆ ಮಾಡಿ  ನಿಮ್ಗೆ ಈ ತರನೆ ಸೆಟ್ ಆಗೋದು,Negative,ನೀವು ಈ ತರ ಪ್ರಯೋಗಾತ್ಮಕ ಮೋವಿಗಳನ್ನೆ ಮಾಡಿ ನಿಮ್ಗೆ ಈ ತರನೆ ಸೆಟ್ ಆಗೋದು,"You can do these kinds of experimental moves and you can't be set like this.
"
3428,3428,Most handsome Kannada film industry,Positive,ಮೋಸ್ಟ್ ಹಂದ್ಸೋಮ್ ಕನ್ನಡ ಫಿಲ್ಮ್ ಇಂಡಸ್ಟ್ರಿ,"Kannada film industry
"
3429,3429,Dagar sule munde bindu,Negative,ಡಗರ್ ಸುಳೆ ಮುಂಡೆ ಬಿಂದು,"Dagar sludge point
"
3430,3430,Jai rakshit shetty,not-Kannada,ಜೈ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ,"Jai Rakshit Shetty
"
3431,3431,Is it true,unknown state,ಐಎಸ್ ಐಟಿ ಟ್ರೂ,"IS IT TRAU
"
3432,3432,Ee video dalli play agiro game yavdu,Mixed feelings,ಈ ವೀಡಿಯೋ ದಲ್ಲಿ ಪ್ಲೇ ಆಗಿರೋ ಗೇಮ್ ಯಾವ್ದು,"Whats in the video?
"
3433,3433,ಯಾರ್ಯಾಗ್ ಈ ಸಾಂಗ್ ಇಷ್ಟ ಆಯ್ತು ಲೈಕ್ ಮಾಡಿ...,Positive,ಯಾರ್ಯಾಗ್ ಈ ಸಾಂಗ್ ಇಷ್ಟ ಆಯ್ತು ಲೈಕ್ ಮಾಡಿ...,"Who liked this song?
"
3434,3434,Intaha innu hadugalu kannada industryge beku annuvavaru like madi,Positive,ಇಂತಹಾ ಇನ್ನು ಹಾಡುಗಳು ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿಗೆ ಬೇಕು ಅನ್ನುವವರು ಲೈಕ್ ಮಾಡಿ,"The Kannada film industry needs more such songs.
"
3435,3435,super film kavanadalli kathe,Positive,ಸೂಪರ್ ಫಿಲ್ಮ್ ಕವನದಲ್ಲಿ ಕತೆ,"The story of a super movie
"
3436,3436,From ಯಶ್ fans,unknown state,ಫ್ರಮ್ ಯಶ್ ಫ್ಯಾನ್ಸ್,"Yash fans
"
3437,3437,ಏನ್ ....... ಪಾ ಅವರ್ನ್,unknown state,ಏನ್ ....... ಪಾ ಅವರ್ನ್,"Why then..?
"
3438,3438,96 film tamil alli blockbuster... gultoo,unknown state,96 ಫಿಲ್ಮ್ ತಮಿಲ್ ಅಲ್ಲಿ ಬ್ಲಾಕ್ಕುಸ್ಟರ್... ಗುಲ್ತೂ,"96 movie on the block
"
3439,3439,Film nalli yellara kelasa chennagide.heroin super aagiddare .super aagi act maadiddarenDuddalli sothiddareno gothilla.kannadigara hrudayadalli film geddide.heroine ge dayAvittu chance kodi,Positive,ಫಿಲ್ಮ್ ನಲ್ಲಿ ಎಲ್ಲರ ಕೆಲಸ ಚೆನ್ನಾಗಿದೆ.ಹೆರೋನ್ ಸೂಪರ್ ಆಗಿದ್ದಾರೆ .ಸೂಪರ್ ಆಗಿ ಆಕ್ಟ್ ಮಾಡಿದ್ದರೆಂದುದಲ್ಲಿ ಸೋತಿದ್ದಾರೇನು ಗೊತ್ತಿಲ್ಲ.ಕನ್ನಡಿಗರ ಹೃದಯದಲ್ಲಿ ಫಿಲ್ಮ್ ಗೆದ್ದಿದೆ.ಹೆರೋನ್ ಗೆ ದಯವಿಟ್ಟು ಚಂಕ್ ಕೊಡಿ,"Everyone in the film has done a great job.
"
3440,3440,387 tusmika fans anstade,Negative,387 ತುಷ್ಮಿಕ ಫ್ಯಾನ್ಸ್ ಅನಷ್ಟದೆ,"There are a total of 387 fans.
"
3441,3441,Super voice ..ck,not-Kannada,ಸೂಪರ್ ವೈಸ್ ..ಸಿಕೆ,"Super Vice
"
3442,3442,D Boss ಅಭಿಮಾನಿಗಳಿಂದ all the best,Positive,ಡ್ ಬಾಸ್ ಅಭಿಮಾನಿಗಳಿಂದ ಆಲ ದ ಬೆಸ್ಟ್,"All the best to the Bigg Boss fans.
"
3443,3443,ನಿನ್ ತುಣ್ಣಿ ಹತ್ರಾ ಶಾಟ ಉದ್ದ ಆಗಿದಾವೆ ಅನ್ಸುತ್ತೆ ಹೋಗಿ ಬೊಳುಸು.... ನಿಮ್ಮ ಅಮ್ಮನ್  d boss ವಿಶ್ಯ ಕ್ಕೇ ಬಂದ್ರೆ ತುಲ್ಲರೆ ಕೊಡ್ತೀನಿ ಮಾತ್ರ... ಹುಶಾರ್.. ಬಾರೋ.. dum ಇದ್ರೆ ಮೆಜೆಸ್ಟಿಕ್.... ಹತ್ರಾ ತುಲ್ಲರೆ ದೆಂಗ್ತಿನಿ ಅಷ್ಟೇ ಮಗನೇ ನಿಮ್ಮ ಅವ್ವ ಹಾದರಗಿತ್ತಿ,Negative,ನಿನ್ ತುಣ್ಣಿ ಹತ್ರಾ ಶಾಟ ಉದ್ದ ಆಗಿದಾವೆ ಅನ್ಸುತ್ತೆ ಹೋಗಿ ಬೊಳುಸು.... ನಿಮ್ಮ ಅಮ್ಮನ್ ಡ್ ಬಾಸ್ ವಿಶ್ಯ ಕ್ಕೇ ಬಂದ್ರೆ ತುಲ್ಲರೆ ಕೊಡ್ತೀನಿ ಮಾತ್ರ... ಹುಶಾರ್.. ಬಾರೋ.. ಡಮ್ ಇದ್ರೆ ಮೆಜೆಸ್ಟಿಕ್.... ಹತ್ರಾ ತುಲ್ಲರೆ ದೆಂಗ್ತಿನಿ ಅಷ್ಟೇ ಮಗನೇ ನಿಮ್ಮ ಅವ್ವ ಹಾದರಗಿತ್ತಿ,"If you think that the Hatra is too long, go and tell me, if your Ammannad boss comes to see you, then only you will be happy.
"
3444,3444,Mee too sir please do consider,unknown state,ಮೀ ಟೂ ಸಾರ್ ಪ್ಲೀಸ್ ಡೂ ಕನ್ಸಿಡರ್,"Please Sir..
"
3445,3445,ಅಚ್ಚ ಕನ್ನಡದ ಸಾಹಿತ್ಯ ಸೂಪರ್ nಜಯ್ ಕರ್ನಾಟಕ,Positive,ಅಚ್ಚ ಕನ್ನಡದ ಸಾಹಿತ್ಯ ಸೂಪರ್ ನ್ಜಯ್ ಕರ್ನಾಟಕ,"Super-Karnataka literature
"
3446,3446,Hindi kaha he bhai???,not-Kannada,ಹಿಂದಿ ಕಹಾ ಹೇ ಭಾಯ್???,"What about Hindi?
"
3447,3447,@Asha Asha wc,unknown state,@ಆಶಾ ಆಶಾ ಎಸಿಸಿ,"@ ASHA ACC
"
3448,3448,Caller tune code piz?,Mixed feelings,ಕಾಲರ್ ಟನ್ ಕೋಡ್ ಪೀಜ್?,"Caller ton code pee?
"
3449,3449,Currect agi helidri sir,unknown state,ಕರೆಕ್ಟ್ ಆಗಿ ಹೇಳಿದ್ರಿ ಸಾರ್,"Correct Sir
"
3450,3450,ಏನ್  ಪ್ರಾಸ  ಗುರು  ನಿಂದು 🤣nNkn deng devru madu tiktok na,Positive,ಏನ್ ಪ್ರಾಸ ಗುರು ನಿಂದು 🤣ನಂಕ್ ಡೆಂಗ್ ದೇವರು ಮಾಡು ಟಿಕ್ಟಾಕ್ ನಾ,"The Lord of the Rings, Lord of the Rings, Lord of the Rings
"
3451,3451,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Positive,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,"Chandan Shetty's video
"
3452,3452,ಟ್ರೈಲರ್ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆnಜೈ ಡಿ ಬಾಸ್.......,Positive,ಟ್ರೈಲರ್ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆನ್ಜೈ ಡಿ ಬಾಸ್.......,"The trailer is great.
"
3453,3453,ಹಾಡು  ತುಂಬಾ  ಚೆನ್ನಾಗಿ ಇದೇ ಹುಲಿಯ nಇದೇ ಡಿಸೆಂಬರ್ 27 ಕ್ಕೆ ಮೂವಿ ತೆರೆಗೆ ಬರ್ತಿದೇ ಯಲ್ಲ  ಹಳೆ ರೆಕಾರ್ಡ್ ಗಳ್ ಗೆಲ್ಲ RIP. ಬರ್ತಾ ಇರೋದು ನಮ್ಮ  ಹುಲಿಯ,Positive,ಹಾಡು ತುಂಬಾ ಚೆನ್ನಾಗಿ ಇದೇ ಹುಲಿಯ ನ್ಇದೇ ಡಿಸೆಂಬರ್ 27 ಕ್ಕೆ ಮೂವಿ ತೆರೆಗೆ ಬರ್ತಿದೇ ಯಲ್ಲ ಹಳೆ ರೆಕಾರ್ಡ್ ಗಳ್ ಗೆಲ್ಲ ರಿಪ್. ಬರ್ತಾ ಇರೋದು ನಮ್ಮ ಹುಲಿಯ,"The song was released on December 27.
"
3454,3454,ನಮ್ಮನೆಗು ಬಂದು ಮಜ್ಜಿಗೆ ಕೇಳಿದ್ದ,Positive,ನಮ್ಮನೆಗು ಬಂದು ಮಜ್ಜಿಗೆ ಕೇಳಿದ್ದ,"He came to us and asked me
"
3455,3455,Super bro,not-Kannada,ಸೂಪರ್ ಬ್ರೋ,"Super Bro
"
3456,3456,King is back,not-Kannada,ಕಿಂಗ್ ಐಎಸ್ ಬ್ಯಾಕ್,"The King IS Back
"
3457,3457,Kannada industry is next level ivaga yaru alladsak agalla Kannada industry na,Positive,ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿ ಐಎಸ್ ನೆಕ್ಸ್ಟ್ ಲೆವಲ್ ಇವಾಗ ಯಾರು ಅಲ್ಲಾಡ್ಸ್ ಆಗಲ್ಲ ಕನ್ನಡ ಇಂಡಸ್ಟ್ರಿ ನಾ,"The next level of IS in the Kannada film industry
"
3458,3458,Rakshit shetty bro,not-Kannada,ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಬ್ರೋ,"Rakshit Shetty
"
3459,3459,Worst movie. artane illa. 1 concept kuda illa.,Negative,ವರ್ಸ್ಟ್ ಮೂವಿ. ಅರ್ಥನೆ ಎಲ್ಲಾ. 1 ಕಾನ್ವೆಂಟ್ ಕೂಡಾ ಎಲ್ಲಾ.,"Worst movie. meaning all. 1 convent is also all.
"
3460,3460,Bharatha Dali jathi padathi meljathi kiljathi erovarege  development sadyane ella and  lancha black money erovarege udara agalla. Reservations erovarege Bharatha udara agala innu development kanasina mathu . China Dali latest political parties Kiri Kiri Ella mathe munduvarida desha but Bharatha China ke compare madidare thumba hinde ede . Bharatha Munde barbekadare political onde erbeku or president adikara erbeku. reservation ban agbeku. Meljathi kiljathi ban agbeku. Lancha ban agbeku. Thappu madidavarige kattina shikshe agbeku Saudi Thara . Amele Bharatha udara aguthe .,Mixed feelings,ಭಾರತ ದಾಳಿ ಜಾತಿ ಪದಾತಿ ಮೇಲ್ಜಾತಿ ಕಿಲ್ಜತಿ ಇರೋವರೆಗೆ ಡೆವಲಪ್ಮೆಂಟ್ ಸಾಧ್ಯಾನೆ ಎಲ್ಲಾ ಆಂಡ್ ಲಂಚ ಬ್ಲಾಕ್ ಮೊನಿ ಇರೋವರೆಗೆ ಉದಾರ ಆಗಲ್ಲ. ರಿಸರ್ವೇಷನ್ ಇರೋವರೆಗೆ ಭಾರತ ಉದಾರ ಅಗಲ ಇನ್ನು ಡೆವಲಪ್ಮೆಂಟ್ ಕನಸಿನ ಮತು . ಚೀನಾ ದಾಳಿ ಲೇಟೆಸ್ಟ್ ಪೊಲಿಟಿಕಲ್ ಪಾರ್ಟೀಸ್ ಕಿರಿ ಕಿರಿ ಎಲ್ಲಾ ಮಾತೆ ಮುಂದುವರಿದ ದೇಶ ಬೂತ್ ಭಾರತ ಚೀನಾ ಕೇ ಕಂಪೇರ್ ಮಾಡಿದರೆ ತುಂಬ ಹಿಂದೆ ಎದೆ . ಭಾರತ ಮುಂಡೆ ಬರ್ಬೇಕಾದರೆ ಪೊಲಿಟಿಕಲ್ ಒಂದೆ ಏರ್ಬೇಕು ಓರ್ ಪ್ರೆಸಿಡೆಂಟ್ ಅದಿಕಾರ ಏರ್ಬೇಕು. ರಿಸರ್ವೇಷನ್ ಬ್ಯಾನ್ ಅಗಬೇಕು. ಮೇಲ್ಜಾತಿ ಕಿಲ್ಜತಿ ಬ್ಯಾನ್ ಅಗಬೇಕು. ಲಂಚ ಬ್ಯಾನ್ ಅಗಬೇಕು. ತಪ್ಪು ಮಾಡಿದವರಿಗೆ ಕತ್ತಿನ ಶಿಕ್ಷೆ ಅಗಬೇಕು ಸೌದಿ ತಾರಾ . ಆಮೇಲೆ ಭಾರತ ಉದಾರ ಅಗುತ್ತೆ .,"As long as India invades the caste hierarchy, the development is not possible as long as all bribes are black money.
"
3461,3461,Super super super super  song,not-Kannada,ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಸಾಂಗ್,"Super song
"
3462,3462,Hindi Hindi Hindi hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi Hindi,not-Kannada,ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ ಹಿಂದಿ,"Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hindi-Hh-
"
3463,3463,Yes true guru,unknown state,ಯಸ್ ಟ್ರೂ ಗುರು,"Yes Tru Guru
"
3464,3464,Pubgi kooda ban agbikittu,Mixed feelings,ಪುಬ್ಗಿ ಕೂಡ ಬ್ಯಾನ್ ಅಗ್ಬಿಕಿತ್ತು,"The puppy also caught fire
"
3465,3465,ಆಶ್ವತಾಮ ಇನೂ ಬದಕಿದಾನಾ,Mixed feelings,ಆಶ್ವತಾಮ ಇನೂ ಬದಕಿದಾನಾ,"Confident and confident
"
3466,3466,ಈ ಸಾಂಗ್ ಚನ್ನಾಗಿದೇ,Positive,ಈ ಸಾಂಗ್ ಚನ್ನಾಗಿದೇ,"This song sounds great.
"
3467,3467,Modhlu sariyagi english kaliyo childu,Negative,ಮೊದ್ಲು ಸರಿಯಾಗಿ ಇಂಗ್ಲಿಷ್ ಕಲಿಯೋ ಚಿಲ್ದು,"Learning English properly
"
3468,3468,ಅರೆ  ಜನ ಕುಣಿದು ಕುಪ್ಪಳಿಸುತಿದ್ದಾರೆ ಅಂತ Tik tok ban ಮಾಡಿಲ್ಲ. ಇದನ್ನು ಬಳಸುವ ಬಹಳಷ್ಟು ಜನಾ ಕೇಂದ್ರ ಸರಕಾರದ ವೈಫಲ್ಯ ಎತ್ತಿ ತೋರಿಸಿ,Negative,ಅರೆ ಜನ ಕುಣಿದು ಕುಪ್ಪಳಿಸುತಿದ್ದಾರೆ ಅಂತ ಟಿಕ್ ಟೋಕ್ ಬ್ಯಾನ್ ಮಾಡಿಲ್ಲ. ಇದನ್ನು ಬಳಸುವ ಬಹಳಷ್ಟು ಜನಾ ಕೇಂದ್ರ ಸರಕಾರದ ವೈಫಲ್ಯ ಎತ್ತಿ ತೋರಿಸಿ,"TikTok is not banned by half of the population, but it is a failure of the central government.
"
3469,3469,olle prayatnake olledagli Jai srimannarayana,Positive,ಒಳ್ಳೆ ಪ್ರಯತ್ನಕೆ ಒಳ್ಳೆದಾಗ್ಲಿ ಜೈ ಶ್ರಿಮಂನರಾಯನ,"Good effort
"
3470,3470,ಡಿ ಬಾಸ್ ಫ್ಯಾನ್ಸ್ ಲೈಕ್ ಮಾಡ್ರೋ,Positive,ಡಿ ಬಾಸ್ ಫ್ಯಾನ್ಸ್ ಲೈಕ್ ಮಾಡ್ರೋ,"De Boss Fans
"
3471,3471,Sir avn height eshtu...... Age eshtu.... Kelbit heli pls,Mixed feelings,ಸಾರ್ ಆನ್ ಹೈಟ್ ಎಷ್ಟು...... ಏಜ್ ಎಷ್ಟು.... ಕೆಲ್ಬಿಟ್ ಹೇಳಿ ಪಿಲ್ಸ್,"Sir on height how many, how many, how many, how many, tell Kelbit pills.
"
3472,3472,Shivaraj Shivu nnimm number kodri,Positive,ಶಿವರಾಜ್ ಶಿವು ನಿನಿಮಂ ನಂಬರ್ ಕೊಡ್ರಿ,"Shivaraj Shivu is the Minimum Number Codri
"
3473,3473,Kadak,Positive,ಕಡಕ್,"[Picture on page 23]
"
3474,3474,Sasthanga namaskaar guru nale,Positive,ಸಾಷ್ಟಾಂಗ ನಮಸ್ಕಾರ್ ಗುರು ನಾಲೆ,"Namaskar Guru
"
3475,3475,Gali Matin Bazaru Sudi Saride Sumaru... Adu yen Andre...!nIDU CHARITRE SRUSTISO AVATARnVijay Prakash voice nice.,unknown state,ಗಾಲಿ ಮಾಟಿನ್ ಬಜಾರು ಸುಡಿ ಸಾರಿದೆ ಸುಮಾರು... ಅದು ಏನ್ ಆಂಡ್ರೆ...!ನೀಡು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವಾಟರ್ಪಿಜಲ್ ಪ್ರಕಾಶ್ ವೈಸ್ ನೀಸ್.,"The Gali Matin bazaar lit up around... it was why Andr!
"
3476,3476,I love you dia,Positive,ಈ ಲವ್ ಯುಎ ಡಿಯಾ,"This is what love is
"
3477,3477,Superb chennag heludri frnd🤣🤣Nam hatra tik tok app illa,Positive,ಸುಪರ್ಬ್ ಚೆನ್ನಾಗ್ ಹೇಳುದ್ರಿ ಫ್ರಂಡ್🤣🤣ನಾಮ್ ಹತ್ರ ಟಿಕ್ ಟೋಕ್ ಅಪ್ಪಿ ಎಲ್ಲಾ,"Superb good friend.
"
3478,3478,ಚೀನಾ ಎಷ್ಟೇ ಮುಂದುವರೆದಿದ್ದರೂ ಅದು ಅನ್ಯದೇಶವೇ ಹೊರತು ನಮ್ಮ ದೇಶವಾಗುವುದಿಲ್ಲ. ಅವರನ್ನು ಹೊಗಳಿ ನಮ್ಮನ್ನು ತೆಗಳಿ ಯಾವುದೇ ಪ್ರಯೋಜನವಿಲ್ಲ. ನಾವು ಪ್ರಜೆಗಳಾಗಿ ಯಾವರೀತಿ ನಡೆದರೆ ದೇಶವನ್ನು ಮುನ್ನಡೆಸಲು ಸಾಧ್ಯ ಎಂದು ನಮ್ಮಲ್ಲಿ ಅರಿವು ಮೂಡಿಸುವ ಸಂಘಟನೆ ಅತ್ಯಗತ್ಯ. ಮೋದಿ ಸ್ವಚ್ಛ ಭಾರತ ಅಭಿಯಾನವನ್ನು ಆಡಿಕೊಂಡು ಹಂಗಿಸಿದವರೆ‌ ಹೆಚ್ಚು. ಸ್ವಚ್ಛ ಭಾರತವನ್ನು ಮೋದಿ ಮಾಡುವುದಲ್ಲ ಬದಲಾಗಿ ಅದು ದೇಶದ ನಾಗರೀಕರ ಕರ್ತವ್ಯ ಎಂದು ಒಬ್ಬರಿಗೂ ಅನಿಸಲಿಲ್ಲ. ಈಗಲೂ ಮೋದಿ ಏತಿ ಎಂದರೆ‌ ಅಲ್ಲ ಪ್ರೇತಿ ಎನ್ನುವ ಜನರಿದ್ದಾರೆ.   ಯಾವುದೇ ಒಳ್ಳೆಯ ಕೆಲಸಕ್ಕೆ ಕಾಲೆಳೆಯುವ ಜನರು ದೇಶದಲ್ಲಿ ತುಂಬಿ ತುಳುಕುತ್ತಿದ್ದಾರೆ. ದೇಶ ದ್ರೋಹಿಗಳನ್ನು ಬೆಂಬಲಿಸುವ,Positive,ಚೀನಾ ಎಷ್ಟೇ ಮುಂದುವರೆದಿದ್ದರೂ ಅದು ಅನ್ಯದೇಶವೇ ಹೊರತು ನಮ್ಮ ದೇಶವಾಗುವುದಿಲ್ಲ. ಅವರನ್ನು ಹೊಗಳಿ ನಮ್ಮನ್ನು ತೆಗಳಿ ಯಾವುದೇ ಪ್ರಯೋಜನವಿಲ್ಲ. ನಾವು ಪ್ರಜೆಗಳಾಗಿ ಯಾವರೀತಿ ನಡೆದರೆ ದೇಶವನ್ನು ಮುನ್ನಡೆಸಲು ಸಾಧ್ಯ ಎಂದು ನಮ್ಮಲ್ಲಿ ಅರಿವು ಮೂಡಿಸುವ ಸಂಘಟನೆ ಅತ್ಯಗತ್ಯ. ಮೋದಿ ಸ್ವಚ್ಛ ಭಾರತ ಅಭಿಯಾನವನ್ನು ಆಡಿಕೊಂಡು ಹಂಗಿಸಿದವರೆ\u200c ಹೆಚ್ಚು. ಸ್ವಚ್ಛ ಭಾರತವನ್ನು ಮೋದಿ ಮಾಡುವುದಲ್ಲ ಬದಲಾಗಿ ಅದು ದೇಶದ ನಾಗರೀಕರ ಕರ್ತವ್ಯ ಎಂದು ಒಬ್ಬರಿಗೂ ಅನಿಸಲಿಲ್ಲ. ಈಗಲೂ ಮೋದಿ ಏತಿ ಎಂದರೆ\u200c ಅಲ್ಲ ಪ್ರೇತಿ ಎನ್ನುವ ಜನರಿದ್ದಾರೆ. ಯಾವುದೇ ಒಳ್ಳೆಯ ಕೆಲಸಕ್ಕೆ ಕಾಲೆಳೆಯುವ ಜನರು ದೇಶದಲ್ಲಿ ತುಂಬಿ ತುಳುಕುತ್ತಿದ್ದಾರೆ. ದೇಶ ದ್ರೋಹಿಗಳನ್ನು ಬೆಂಬಲಿಸುವ,"Even if China continues, it will be a foreign country and not our country.
"
3479,3479,ದೀಯಾ ಗೆ ಮೊದಲ ಪ್ರೀತಿಯ ಮಧ್ಯಾಂತರ  ಶಾಕ್ ಕೊಟ್ಟರೆ ಎರಡನೇ ಪ್ರೀತಿಯು ಕೊನೆಯಲ್ಲಿ ಶಾಕ್ ಕೊಡುತ್ತದೆ... ಕಥೆ ಚಿತ್ರಕಥೆ ಸಂಭಾಷಣೆ ನಿರ್ದೇಶನ ಸೂಪರ್ 4 ಜನರು ತುಂಬಾ ಚೆನ್ನಾಗಿ ನಟನೆ ಮಾಡಿದ್ದಾರೆ ... ಇಬ್ಬರೂ ನಟರು ಸೂಪರ್ ನಟಿಯೂ ಸೂಪರ್ ಪವಿತ್ರ ಲೋಕೇಶ್ ಅವರ ನಟನೆ ಅದ್ಬುತ ..‌ಒಂದೊಳ್ಳೆ ಅದ್ಬುತವಾದ ಸಿನಿಮಾ ...,Positive,ದೀಯಾ ಗೆ ಮೊದಲ ಪ್ರೀತಿಯ ಮಧ್ಯಾಂತರ ಶಾಕ್ ಕೊಟ್ಟರೆ ಎರಡನೇ ಪ್ರೀತಿಯು ಕೊನೆಯಲ್ಲಿ ಶಾಕ್ ಕೊಡುತ್ತದೆ... ಕಥೆ ಚಿತ್ರಕಥೆ ಸಂಭಾಷಣೆ ನಿರ್ದೇಶನ ಸೂಪರ್ 4 ಜನರು ತುಂಬಾ ಚೆನ್ನಾಗಿ ನಟನೆ ಮಾಡಿದ್ದಾರೆ ... ಇಬ್ಬರೂ ನಟರು ಸೂಪರ್ ನಟಿಯೂ ಸೂಪರ್ ಪವಿತ್ರ ಲೋಕೇಶ್ ಅವರ ನಟನೆ ಅದ್ಬುತ ..\u200cಒಂದೊಳ್ಳೆ ಅದ್ಬುತವಾದ ಸಿನಿಮಾ ...,"While Diya gets the mid-term shock of her first love, the second love shocks at the end... the story, screenplay, dialogue and direction of the Super 4 people have acted very well...
"
3480,3480,Telegram alli download maadkondu nodidare...theatre alli kammi,Mixed feelings,ತೆಲೆಗ್ರಾಂ ಅಲ್ಲಿ ಡೌನ್ಲೋಡ್ ಮಾಡ್ಕೊಂಡು ನೋಡಿದರೆ...ಠೀಟರ್ ಅಲ್ಲಿ ಕಮ್ಮಿ,"If you download Telegram there, you can see that there is less number of thistles.
"
3481,3481,Gurve egle Google nali search madu,Mixed feelings,ಗುರುವೆ ಇಗಲ್ ಗೂಗಲ್ ನಾಲಿ ಸರ್ಚ್ ಮಾಡು,"Google Search
"
3482,3482,Adarsh Sagar suppre,unknown state,ಅದರ್ಶ್ ಸಾಗರ್ ಸಸ್ಪ್ರ್,"Adarsh Sagar Sassoon
"
3483,3483,7 ಜನ್ಮ ಇದಿಯಾ ಆತ್ವಾ ಇಲ್ವೋ |n,Positive,7 ಜನ್ಮ ಇದಿಯಾ ಆತ್ವಾ ಇಲ್ವೋ |ನ್,"7 Birth of a soul
"
3484,3484,Eee song naa eeega nodthiroru like maadi,unknown state,ಏ ಸಾಂಗ್ ನಾ ಈಗ ನೊಡ್ತಿರೊರು ಲೈಕ್ ಮಾಡಿ,"Listen to the song here
"
3485,3485,Super  song,not-Kannada,ಸೂಪರ್ ಸಾಂಗ್,"Superb song
"
3486,3486,Good song nPakka hit agutha,Positive,ಗುಡ್ ಸಾಂಗ್ ನ್ಪಕ್ಕ ಹಿಟ್ ಆಗುತ್ತ,"Good song is a hit.
"
3487,3487,Hats up u sir.,not-Kannada,ಹ್ಯಾಟ್ಸ್ ಅಪ್ ಊ ಸಾರ್.,"Hats off sir.
"
3488,3488,@TROLL MONSTER_KANNADA nNimm Todeya release gu modale damaar,Negative,@ಟ್ರೋಲ್ ಮಾನ್ಸ್ಟರ್_ಕನ್ನಡ ನಿನಿಮಂ ತೊಡೆಯ ರಿಲೀಸ್ ಗೂ ಮೊದಲೇ ಡಮಾರ್,"@ Troll _ Monster _ Kannada Nineem Thodi Dammer before release
"
3489,3489,@Sumukh M.R maga urkanbeda bido,Negative,@ಸುಮುಖ್ ಎಮ್.ರ್ ಮಗ ಉರ್ಕಂಬೇಡ ಬಿಡೊ,"@ Sumukhs son Urkam no more
"
3490,3490,Dub it to Malayalam,unknown state,ಡಬ್ ಐಟಿ ಟೊ ಮಲಯಾಳಂ,"Dubbed IT To Malayalam
"
3491,3491,Super video bro,not-Kannada,ಸೂಪರ್ ವೀಡಿಯೋ ಬ್ರೋ,"Super Video
"
